ID,Tratamento,Categoria de Dados,Base Legal,Descrição,Medidas de Segurança,Responsável,Período de Retenção,Compartilhamento,Finalidade
TRT001,"Cadastro de Clientes","Dados Pessoais","Consentimento","Coleta e armazenamento de dados cadastrais de clientes incluindo nome, email, telefone e endereço","1. Criptografia; 2. Controle de acesso; 3. Logs de auditoria","Maria Silva","5 anos","Interno apenas","Relacionamento comercial e prestação de serviços"
TRT002,"Folha de Pagamento","Dados Pessoais Sensíveis","Obrigação Legal","Processamento de dados de funcionários para folha de pagamento incluindo dados bancários e benefícios","1. Acesso restrito; 2. Criptografia; 3. Backup regular","João Santos","10 anos","Bancos, Governo","Cumprimento de obrigações trabalhistas"
TRT003,"Marketing Digital","Dados Pessoais","Consentimento","Uso de dados para campanhas de marketing e comunicação","1. Opt-in explícito; 2. Gestão de preferências; 3. Política de retenção","Ana Costa","2 anos","Agências parceiras","Envio de comunicações marketing"
TRT004,"Prontuário Médico","Dados Sensíveis","Consentimento e Obrigação Legal","Gestão de informações médicas de funcionários","1. Criptografia forte; 2. Acesso limitado; 3. Auditoria regular","Pedro Oliveira","20 anos","Plano de saúde","Atendimento médico ocupacional"
TRT005,"Monitoramento de Acesso","Dados Pessoais","Legítimo Interesse","Controle de acesso físico às instalações","1. Câmeras CCTV; 2. Logs seguros; 3. Política de retenção","Lucia Mendes","6 meses","Interno apenas","Segurança patrimonial"
TRT006,"Processo Seletivo","Dados Pessoais","Consentimento","Gestão de candidaturas e processos seletivos","1. Acesso restrito; 2. Anonimização; 3. Prazo de descarte","Roberto Alves","1 ano","RH e gestores","Recrutamento e seleção"
TRT007,"Dados Financeiros","Dados Pessoais","Execução de Contrato","Processamento de transações financeiras e faturamento","1. Criptografia; 2. Segregação de funções; 3. Monitoramento","Carlos Lima","5 anos","Instituições financeiras","Gestão financeira e contábil"
TRT008,"Cookies Website","Dados de Navegação","Consentimento","Coleta de dados de navegação no website","1. Banner de cookies; 2. Gestão de preferências; 3. Documentação","Patricia Santos","1 ano","Parceiros analytics","Análise de comportamento e melhorias"
TRT009,"SAC/Ouvidoria","Dados Pessoais","Legítimo Interesse","Atendimento a reclamações e suporte ao cliente","1. Treinamento; 2. Controle de acesso; 3. Política de retenção","Fernando Costa","2 anos","Interno apenas","Suporte ao cliente"
TRT010,"Controle de Fornecedores","Dados Pessoais","Execução de Contrato","Gestão de cadastro e contratos com fornecedores","1. Acesso controlado; 2. Cláusulas contratuais; 3. Auditoria","Amanda Lima","5 anos","Departamentos internos","Gestão de fornecedores"
